Source,Target,Type,Id,Label,Weight
@nssn323,Innovation,Undirected,5324,,1
@delusion0l,Education,Undirected,5325,,1
@dr_l_alexandre,Education,Undirected,5326,,3
@SouthOnoze,Conseil,Undirected,5327,,1
@youngjeune_off,Education,Undirected,5329,,1
@Songsa93,Conseil,Undirected,5330,,1
@MonniauxD,Conseil,Undirected,5331,,1
@Vinteuil_LTP,Business,Undirected,5332,,1
@Melp_c,Innovation,Undirected,5333,,1
@emile_marzolf,Feedback,Undirected,5334,,1
@erwanlenoan,Innovation,Undirected,5335,,1
@Mabii33,Feedback,Undirected,5337,,1
@mwakast,Education,Undirected,5338,,1
@M07Youss,Business,Undirected,5339,,1
@colinlebedev,Feedback,Undirected,5340,,1
@LeCheikh,Feedback,Undirected,5341,,1
@planetom13,Feedback,Undirected,5343,,1
@dareljedid,Feedback,Undirected,5344,,1
@MichelBillaud,Innovation,Undirected,5345,,1
@Petit_Fayot,Feedback,Undirected,5346,,1
@rousseltc,Education,Undirected,5347,,1
@Deep_GeniusAi,Innovation,Undirected,5348,,1
