Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-06-17,Vincent Flibustier,@vinceflibustier,"J'ai créé 18k sites SEO niveau 48 en seulement 2-3 mois grâce à l'IA 
Mais 99,99% des gens se limiteront à écrire des fiches produits avec ChatGPT. 

Voici 10 principes pour « thinker outside the box » et obtenir le Mindset Ultime pour utiliser l’IA ",32,4
2023-06-12,Et ça continue...,@zoomabus,"De source sûre, la presse subventionnée s'apprêterait à utiliser ChatGPT pour élaborer l'information...

Qu'en pensez-vous ?",40,7
2023-06-17,H.,@Hkaisla,"Hé j'en peux plus des threads sur ChatGPT... que vous rédigez avec ChatGPT.

Il faut que ça cesse.

Vous avez autant la flemme que ça de réfléchir ou quoi ?

0 créativité, les mêmes structures de phrases, le même contenu creux et bateau, les mêmes call to action...

C'est bon là",347,52
2023-06-04,Rudy,@_dlt2,"Petit truc tout bête mais après avoir discuté avec ChatGPT pour affiner votre prompt et obtenu le résultat parfait, pensez à lui demander de vous donner le prompt permettant d’obtenir directement le résultat final. Gain de temps considérable !",19,12
2023-06-25,Gege Carabine,@GegeCarabine,"ChatGPT peut vous faire gagner des dizaines d’heures de #travail et de l’argent. 

Mais 99% des gens ne savent pas comment l'utiliser. 

Voici les 7 #étapes pour maîtriser cet outil et devenir le meilleur dans son business ! #Thread

Ma femme est partie avec les gosses.",23,9
2023-06-17,Raphaël Enthoven,@Enthoven_R,"Quelques infos sur le faux « match » du bac philo contre #ChatGPT. Je dis « faux match » parce que Chat GPT n’est pas un prof de philo. Si 2 humains issus de 2 écoles de pensée s’étaient affrontés, il y aurait eu match. Là, il y avait victoire avant match.",21,2
2023-06-15,𝕪𝟜𝕟𝟘𝟝𝕙 φ ⏚,@y4n05h,"Si Enthoven est le nouveau Socrate parce qu'il a battu chatGPT en philo, alors je suis le nouvel Einstein. Ben si, j'ai battu mon balais-brosse en calcul mental.",147,23
2023-06-25,Dr David Monniaux,@MonniauxD,"Je ne sais pas ce qui s'est passé au MIT avec ce papier arXiv sur ChatGPT, mais une chose est sûre :

Ne mettez jamais en ligne, n'envoyez jamais à des éditeurs, un document en ayant indiqué comme auteurs des gens qui n'ont pas approuvé cet envoi.",652,165
2023-06-27,Blemont Denis,@BlemontD,"Une professeure d'IUT à Nancy a refusé de corriger les copies de 120 élèves faites visiblement avec ChatGPT.

— Pas la moindre faute d'orthographe !

— Des phrases trop recherchées pour le niveau des élèves !",17,6
1970-01-01,Chat FTW,@ChatFTW,"Are you the same as Conor?

Ask ChatFTW, an advanced Sports AI: http://chatftw.com/?twclid=22h4075ntj5g4irovn1oy2glhd",32,5
2023-06-15,Dr David Monniaux,@MonniauxD,"Mon avis sur ChatGPT vs Enthoven : je me souviens de quand des traducteurs et traductrices se gaussaient des résultats médiocres de la traduction automatique.

Maintenant, certes il faut parfois repasser derrière DeepL mais le premier jet est souvent déjà très bien…",145,97
2023-06-24,grisou Stéph PFM,@grisou97160,"Les têtes pleines d'eau en PLS, 
@PhilConte4_0
 avec chat GPT 17.14.0.0.4.5 analyse la #Russie  le tout avec le neueneu en chef @TribunePop2022. ""Il faut prendre les infos avec prudence !"" Oui oui comme pour Nord Stream et le virus d'un labo. Ne changez rien.
#BrevesDeSpace",93,4
2023-06-15,Duplessix,@DupClarinet,"Le duel d'Enthoven avec chatgpt m'a donné envie de faire pareil, j'affronterai l'an prochain un orgue de barbarie sur un programme de Sweelinck et Pachelbel",42,3
2023-06-06,Joan Stavo-Debauge,@JoStavoDebauge,"From Sarah Connor versus Terminator to Raphaël Enthoven versus ChatGPT : y'a pas à dire, la France reste très en deçà des Etats-Unis pour ce qui est de l'entertainment ",17,3
